,timestamp,experiment_ID,subject,r_len,handedness,vision,colorvision,age,gender,nationality,r_type,IOS,key_press,rt,trial_stim
54,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.39471090002916753,YL
55,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.3531752999406308,YL
56,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.3400998000288382,YR
57,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5440452999901026,BL
58,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.36259949998930097,YR
59,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.544475199887529,BL
60,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5524044999619946,BR
61,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.4110231000231579,BM
62,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.4913249999517575,BR
63,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5034453999251127,BM
64,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.45319649996235967,YR
65,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.5291344000725076,YM
66,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.4046705000801012,YR
67,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.4818063999991864,BR
68,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.37506189988926053,YR
69,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5177183999912813,BR
