,timestamp,ID,r_len,P1_age,P1_gender,P1_nationality,P1_r_type,P1_IOS,P2_age,P2_gender,P2_nationality,P2_r_type,P2_IOS,key_press,rt,trial_stim
46,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.5449790409766138,YL
47,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.5923411250114441,YL
48,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.6260618750238791,YM
49,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.3524530830036383,BR
50,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.4627156670030672,BM
51,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.4295037499978207,YR
52,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.5192859999951907,BR
53,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.38535129200317897,YR
54,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.4874279999930877,YL
55,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.6556151249969844,BM
56,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.5227029999950901,YM
57,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.7087469580001198,YL
58,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.8621188329998404,YM
59,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.5171229160041548,YR
60,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.4606105829880107,YR
61,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.5110808750032447,YL
62,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.7158761669998057,YM
63,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.584432708012173,BM
64,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.5563922500004992,BL
65,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.6031322089838795,BR
66,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.6993469579902012,BL
67,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,0.5743913750047795,BR
68,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,p,1.1249650420213584,BM
69,2022_Jan_20_1329,94233,3,33,Male,egrrge,Friends,3,44,Male,sfsefwfw,Family,3,w,0.5607674579950981,YR
