,timestamp,experiment_ID,subject,r_len,handedness,vision,colorvision,age,gender,nationality,r_type,IOS,key_press,rt,trial_stim
0,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.933172791999823,BR
1,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.2829296660020191,YR
2,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.616317625001102,YR
3,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.39944999999715947,BR
4,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.6027379169972846,BL
5,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.42939824999848497,BR
6,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.36818962499819463,YR
7,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.36767233299906366,BR
8,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.6130902499971853,YM
9,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.49954970800172305,BL
10,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.4442287909987499,YL
11,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.4483610420029436,BM
12,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.24588491700342274,YL
13,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.5273588330019265,YR
14,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.5476115419987764,YM
15,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.46442083299916703,YL
16,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.5529691669980821,YR
17,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.37447070900088875,BR
18,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.5787907500016445,YL
19,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.3472402499974123,YL
20,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.4713617500019609,BM
21,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.35280991599938716,BR
22,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.4941848749986093,YR
23,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.5004594580022967,BL
24,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.35960079199867323,YR
25,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.42604829099946073,BL
26,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.286645291998866,YM
27,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.3085683749995951,BL
28,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.574327207999886,BR
29,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.2502109580018441,YL
30,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.5984128339987365,YR
31,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.4203834170002665,BR
32,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.46507020799981547,BR
33,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.5579377499998373,BM
34,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.4645922920026351,YL
35,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.4257622919976711,YL
36,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.4886444589974417,YR
37,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.32041958300033,YL
38,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.5461401249995106,YR
39,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.4364694169998984,BL
40,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.387614625000424,YR
41,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.4971172089972242,BM
42,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.47561533299813163,YM
43,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.43257583399827126,BL
44,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.5490350420004688,BL
45,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.5193988339997304,BM
46,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.49218699999983073,YM
47,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.42884816699734074,BR
48,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.25788687500244123,YR
49,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.35721658400143497,BL
50,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.48189012500006356,YL
51,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.624892791001912,YR
52,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.4562674579974555,BM
53,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.4915066249996016,YM
54,2022_Jan_23_1659,82203,84019,60,Right,Yes,No,81,Male,Dansk,Romantic,3,p,0.45460204199844156,BM
55,2022_Jan_23_1659,82203,46219,60,Right,Yes,No,Tysk,Female,Tysk,Family,3,w,0.32011824999790406,YR
