,timestamp,experiment_ID,subject,r_len,handedness,vision,colorvision,age,gender,nationality,r_type,IOS,key_press,rt,trial_stim
0,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3542402000166476,BM
1,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.3225991998333484,YL
2,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.26007790002040565,BR
3,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.4438131998758763,BL
4,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3624827000312507,BR
5,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.5343842001166195,YM
6,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.27985740010626614,BR
7,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.5847181000281125,YR
8,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.5299080999102443,YL
9,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.43084929999895394,BL
10,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.688229399966076,YR
11,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.2747456000652164,BL
12,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.2917675001081079,YL
13,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.3672577999532223,YL
14,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3109569000080228,BM
15,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.6095465000253171,YM
16,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.3967301999218762,YL
17,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.6403123000636697,YL
18,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.39364370005205274,YR
19,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3799465000629425,BM
20,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.265231299912557,YM
21,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.4976123000960797,BL
22,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.30676389997825027,BR
23,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.301246200222522,BR
24,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.594719700049609,YR
25,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.465347999939695,YR
26,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3623723001219332,BR
27,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.30031120008789003,BL
28,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.5047281999140978,YL
29,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3476319999899715,BL
30,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.5812978998292238,YR
31,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.5146180998999625,YM
32,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.2978712001349777,BL
33,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.8035467998124659,YM
34,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.4701882000081241,YL
35,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.266792600043118,BR
36,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.3913584998808801,YL
37,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.30227599991485476,BL
38,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.4410939998924732,YL
39,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.2966857999563217,BR
40,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3187802000902593,BR
41,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3355020999442786,BM
42,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.2862574001774192,BM
43,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.35519129992462695,BM
44,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.42301240004599094,BL
45,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.5107457002159208,YR
46,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.586585600161925,YR
47,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.7299192000646144,YR
48,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.2998911999166012,BR
49,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.33863679994829,BR
50,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.5717127001844347,YR
51,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.5781139000318944,YR
52,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.27486809995025396,BR
53,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3794375997968018,BL
54,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.45320029999129474,YR
55,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.520043299999088,YR
56,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.417945499997586,YL
57,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.6777801001444459,YR
58,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.4533955999650061,YL
59,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3522240000311285,BL
60,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3132214001379907,BM
61,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.49504379997961223,YL
62,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.32847309997305274,BR
63,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.29556450014933944,BL
64,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.413874699966982,YL
65,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.4596402000170201,YM
66,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.36740730004385114,BL
67,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.3424110999330878,BL
68,2022_Jan_25_1632,14516,53259,2,Right,Yes,No,24,Male,Jeg er fra damark,Friends,3,p,0.30757659999653697,BR
69,2022_Jan_25_1632,14516,33282,2,Right,Yes,No,25,Male,Danish,Friends,3,w,0.40584659995511174,YM
